PROJECT,SURFACE_PAD,PATTERN,WELL_PAIR,MAPPED_COMMON_WELLNAME,OBS_SUNCOR_WELLBORE_ID,TVDSS,OBS_MD,PROJECTED_MD,FILE_MNEMONIC_NAME,COMMON_MNEMONIC_NAME,MNEMONIC_VALUE
Mackay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUN-AB0270296-093-12-W4-00,417.899993896484,17.5,1202.23999023438,M_GR,Gamma Ray,-999.25
Mackay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUN-AB0270296-093-12-W4-00,417.899993896484,17.5,1202.23999023438,M_GR,Gamma Ray,-999.25
Mackay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUN-AB0270296-093-12-W4-00,407.899993896484,27.5,1202.23999023438,M_GR,Gamma Ray,25.305
Mackay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUN-AB0270296-093-12-W4-00,407.899993896484,27.5,1202.23999023438,M_GR,Gamma Ray,25.305
Mackay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUN-AB0270296-093-12-W4-00,397.899993896484,37.5,1202.23999023438,M_GR,Gamma Ray,29.948
Mackay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUN-AB0270296-093-12-W4-00,397.899993896484,37.5,1202.23999023438,M_GR,Gamma Ray,29.948
Mackay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUN-AB0270296-093-12-W4-00,387.899993896484,47.5,1202.23999023438,M_GR,Gamma Ray,42.789
Mackay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUN-AB0270296-093-12-W4-00,387.899993896484,47.5,1202.23999023438,M_GR,Gamma Ray,42.789
Mackay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUN-AB0270296-093-12-W4-00,377.899993896484,57.5,1202.23999023438,M_GR,Gamma Ray,75.015
Mackay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUN-AB0270296-093-12-W4-00,377.899993896484,57.5,1202.23999023438,M_GR,Gamma Ray,75.015
Mackay River,Pad 750,Pad 750 North,750-WP01,750-P01,SUN-AB0270296-093-12-W4-00,367.899993896484,67.5,1202.23999023438,M_GR,Gamma Ray,43.704
