,TAG_NAME,DEPTH_EFFECTIVE_DATE,MDKB_DEPTH,INSTRUMENTATION_TYPE,Point #
0,OBS_100-PI-80018B,2017-05-12,252.0,Piezometer,PiezP1
1,OBS_100-TI-80018B,2017-05-12,252.0,Piezometer,PiezT1
2,OBS_100-PI-80019B,2017-05-29,246.0,Piezometer,PiezP1
3,OBS_100-TI-80019B,2017-05-29,246.0,Piezometer,PiezT1
4,OBS_100PI-8121A,2012-09-21,334.0,Piezometer,PiezP1
5,OBS_100PI-8121E,2013-07-03,325.0,Piezometer,PiezP2
6,OBS_100PI-8121F,2013-07-03,345.0,Piezometer,PiezP3
7,OBS_100PI-8121B,2012-09-21,158.0,Piezometer,PiezP4
8,OBS_100TI-8121A,2012-09-21,334.0,Piezometer,PiezT1
9,OBS_100TI-8121E,2013-07-03,325.0,Piezometer,PiezT2
10,OBS_100TI-8121F,2013-07-03,345.0,Piezometer,PiezT3
11,OBS_100TI-8121B,2012-09-21,158.0,Piezometer,PiezT4
12,OBS_100PI-8121B,2012-09-21,286.0,Piezometer,PiezP1
13,OBS_100PI-8121C,2012-09-21,289.0,Piezometer,PiezP2
14,OBS_100PI-8121G,2013-07-03,273.1,Piezometer,PiezP3
15,OBS_100TI-8121B,2012-09-21,286.0,Piezometer,PiezT1
16,OBS_100TI-8121C,2012-09-21,289.0,Piezometer,PiezT2
17,OBS_100TI-8121G,2013-07-03,273.1,Piezometer,PiezT3
18,OBS_100PI-8112AU,2012-08-14,212.0,Piezometer,PiezP1
19,OBS_100PI-8112AT,2012-08-14,341.0,Piezometer,PiezP2
20,OBS_100PI-8112AS,2012-08-14,341.0,Piezometer,PiezP3
21,OBS_100PI-8112AR,2012-08-14,368.0,Piezometer,PiezP4
22,OBS_100PI-8112AV,2013-07-03,383.8,Piezometer,PiezP5
23,OBS_100PI-8112AW,2013-07-03,367.4,Piezometer,PiezP6
24,OBS_100TI-8112A,2012-08-14,343.0,Thermocouple,1
25,OBS_100TI-8112J,2012-08-14,322.2,Thermocouple,10
26,OBS_100TI-8112K,2012-08-14,319.6,Thermocouple,11
27,OBS_100TI-8112L,2012-08-14,317.0,Thermocouple,12
28,OBS_100TI-8112M,2012-08-14,314.4,Thermocouple,13
29,OBS_100TI-8112N,2012-08-14,311.8,Thermocouple,14
30,OBS_100TI-8112O,2012-08-14,309.2,Thermocouple,15
31,OBS_100TI-8112P,2012-08-14,306.6,Thermocouple,16
32,OBS_100TI-8112Q,2012-08-14,304.0,Thermocouple,17
33,OBS_100TI-8112R,2012-08-14,301.4,Thermocouple,18
34,OBS_100TI-8112S,2012-08-14,298.8,Thermocouple,19
35,OBS_100TI-8112B,2012-08-14,340.4,Thermocouple,2
36,OBS_100TI-8112T,2012-08-14,296.2,Thermocouple,20
37,OBS_100TI-8112U,2012-08-14,293.6,Thermocouple,21
38,OBS_100TI-8112V,2012-08-14,291.0,Thermocouple,22
39,OBS_100TI-8112W,2012-08-14,288.4,Thermocouple,23
40,OBS_100TI-8112X,2012-08-14,285.8,Thermocouple,24
41,OBS_100TI-8112Y,2012-08-14,283.2,Thermocouple,25
42,OBS_100TI-8112Z,2012-08-14,280.6,Thermocouple,26
43,OBS_100TI-8112AA,2012-08-14,278.0,Thermocouple,27
44,OBS_100TI-8112AB,2012-08-14,275.4,Thermocouple,28
45,OBS_100TI-8112AC,2012-08-14,272.8,Thermocouple,29
46,OBS_100TI-8112C,2012-08-14,337.8,Thermocouple,3
47,OBS_100TI-8112AD,2012-08-14,270.2,Thermocouple,30
48,OBS_100TI-8112AE,2012-08-14,267.6,Thermocouple,31
49,OBS_100TI-8112AF,2012-08-14,265.0,Thermocouple,32
50,OBS_100TI-8112AG,2012-08-14,262.4,Thermocouple,33
51,OBS_100TI-8112AH,2012-08-14,259.8,Thermocouple,34
52,OBS_100TI-8112AI,2012-08-14,257.2,Thermocouple,35
53,OBS_100TI-8112AJ,2012-08-14,254.6,Thermocouple,36
54,OBS_100TI-8112AK,2012-08-14,252.0,Thermocouple,37
55,OBS_100TI-8112AL,2012-08-14,249.4,Thermocouple,38
56,OBS_100TI-8112AM,2012-08-14,246.8,Thermocouple,39
57,OBS_100TI-8112D,2012-08-14,337.8,Thermocouple,4
58,OBS_100TI-8112AN,2012-08-14,244.2,Thermocouple,40
59,OBS_100TI-8112AO,2012-08-14,241.6,Thermocouple,41
60,OBS_100TI-8112AP,2012-08-14,239.0,Thermocouple,42
61,OBS_100TI-8112AQ,2012-08-14,236.4,Thermocouple,43
62,OBS_100TI-8112E,2012-08-14,335.2,Thermocouple,5
63,OBS_100TI-8112F,2012-08-14,332.6,Thermocouple,6
64,OBS_100TI-8112G,2012-08-14,330.0,Thermocouple,7
65,OBS_100TI-8112H,2012-08-14,327.4,Thermocouple,8
66,OBS_100TI-8112I,2012-08-14,324.8,Thermocouple,9
67,OBS_100TI-8112AU,2012-08-14,212.0,Piezometer,PiezT1
68,OBS_100TI-8112AT,2012-08-14,341.0,Piezometer,PiezT2
69,OBS_100TI-8112AS,2012-08-14,341.0,Piezometer,PiezT3
70,OBS_100TI-8112AR,2012-08-14,368.0,Piezometer,PiezT4
71,OBS_100TI-8112AV,2013-07-03,383.8,Piezometer,PiezT5
72,OBS_100TI-8112AW,2013-07-03,367.4,Piezometer,PiezT6
73,OBS_100PI-8122A,2012-09-21,354.0,Piezometer,PiezP1
74,OBS_100PI-8122B,2012-09-21,332.5,Piezometer,PiezP2
75,OBS_100PI-8122C,2012-09-21,187.0,Piezometer,PiezP3
76,OBS_100PI-8122D,2013-07-03,375.1,Piezometer,PiezP4
77,OBS_100PI-8122E,2013-07-03,350.0,Piezometer,PiezP5
78,OBS_100TI-8122A,2012-09-21,354.0,Piezometer,PiezT1
79,OBS_100TI-8122B,2012-09-21,332.5,Piezometer,PiezT2
80,OBS_100TI-8122C,2012-09-21,187.0,Piezometer,PiezT3
81,OBS_100TI-8122D,2013-07-03,350.0,Piezometer,PiezT4
82,OBS_100TI-8122E,2013-07-03,375.1,Piezometer,PiezT5
83,OBS_100PI-1002G,2014-05-02,370.0,Piezometer,PiezP1
84,OBS_100PI-1002F,2014-05-02,387.0,Piezometer,PiezP2
85,OBS_100PI-1002C,2013-07-03,328.0,Piezometer,PiezP3
86,OBS_100PI-1002D,2013-07-03,328.0,Piezometer,PiezP4
87,OBS_100PI-1002E,2013-07-03,170.0,Piezometer,PiezP5
88,OBS_100TI-1002G,2014-05-02,370.0,Piezometer,PiezT1
89,OBS_100TI-1002F,2014-05-02,387.0,Piezometer,PiezT2
90,OBS_100TI-1002C,2013-07-03,328.0,Piezometer,PiezT3
91,OBS_100TI-1002D,2013-07-03,328.0,Piezometer,PiezT4
92,OBS_100TI-1002E,2013-07-03,170.0,Piezometer,PiezT5
93,OBS_100PI-8204E,2014-05-03,302.0,Piezometer,PiezP1
94,OBS_100PI-8204F,2014-05-03,302.0,Piezometer,PiezP2
95,OBS_100PI-8204G,2014-05-03,184.0,Piezometer,PiezP3
96,OBS_100PI-8204H,2015-04-01,376.5,Piezometer,PiezP4
97,OBS_100PI-8204I,2015-04-01,347.0,Piezometer,PiezP5
