,Tag Name,Depth (mKB),Instrumentation Type,Well Name,Point #,TAG_NAME,TAG_EFFECTIVE_DATE
876,No Tag,329.0,Temperature,OB126,1,,
1382,OB142_ERD1_PRESS,331.0,Pressure,OB142,PERD1,,
1383,OB142_ERD2_PRESS,315.5,Pressure,OB142,PERD2,,
1384,OB142_ERD3_PRESS,302.5,Pressure,OB142,PERD3,,
1385,OB142_TEMP1,257.9,Temperature,OB142,1,,
1386,OB142_TEMP10,269.6,Temperature,OB142,10,,
1387,OB142_TEMP11,270.9,Temperature,OB142,11,,
1388,OB142_TEMP12,272.2,Temperature,OB142,12,,
1389,OB142_TEMP13,273.5,Temperature,OB142,13,,
1390,OB142_TEMP14,274.8,Temperature,OB142,14,,
1391,OB142_TEMP15,276.1,Temperature,OB142,15,,
1392,OB142_TEMP16,277.4,Temperature,OB142,16,,
1393,OB142_TEMP17,278.7,Temperature,OB142,17,,
1394,OB142_TEMP18,280.0,Temperature,OB142,18,,
1395,OB142_TEMP19,281.3,Temperature,OB142,19,,
1396,OB142_TEMP2,259.2,Temperature,OB142,2,,
1397,OB142_TEMP20,282.6,Temperature,OB142,20,,
1398,OB142_TEMP21,283.9,Temperature,OB142,21,,
1399,OB142_TEMP22,285.2,Temperature,OB142,22,,
1400,OB142_TEMP23,286.5,Temperature,OB142,23,,
1401,OB142_TEMP24,287.8,Temperature,OB142,24,,
1402,OB142_TEMP25,289.1,Temperature,OB142,25,,
1403,OB142_TEMP26,290.4,Temperature,OB142,26,,
1404,OB142_TEMP27,291.7,Temperature,OB142,27,,
1405,OB142_TEMP28,293.0,Temperature,OB142,28,,
1406,OB142_TEMP29,294.3,Temperature,OB142,29,,
1407,OB142_TEMP3,260.5,Temperature,OB142,3,,
1408,OB142_TEMP30,295.6,Temperature,OB142,30,,
1409,OB142_TEMP31,296.9,Temperature,OB142,31,,
1410,OB142_TEMP32,298.2,Temperature,OB142,32,,
1411,OB142_TEMP33,299.5,Temperature,OB142,33,,
1412,OB142_TEMP34,300.8,Temperature,OB142,34,,
1413,OB142_TEMP35,302.1,Temperature,OB142,35,,
1414,OB142_TEMP36,303.4,Temperature,OB142,36,,
1415,OB142_TEMP37,304.7,Temperature,OB142,37,,
1416,OB142_TEMP38,306.0,Temperature,OB142,38,,
1417,OB142_TEMP39,307.3,Temperature,OB142,39,,
