PROJECT,SURFACE_PAD,PATTERN,OBS_IHS_WELLNAME,OBS_SUNCOR_WELLBORE_ID,OBS_SURFACE_X,OBS_SURFACE_Y,OBS_TOP_TVDSS,OBS_BOT_TVDSS,MAPPED_PARENTS
Mackay River,Pad 750,Pad 750 North,PC  9DOVER 9-7-93-12,SUN-AB0100306C-093-12-W4-00,444453.96875,6323993,428.799987792969,255.699996948242,2
Mackay River,Pad 750,Pad 750 North,PC 19 DOVER 1-7-93-12,SUN-AB0100306B-093-12-W4-00,444429.09375,6323214.5,430.100006103516,255.399993896484,2
Mackay River,Pad 750,Pad 750 North,PC UTF PA10 DOVER 10-7-93-12,SUN-AB0184088-093-12-W4-00,444166.9375,6324000,435.899993896484,271.100006103516,2
Mackay River,Pad 750,Pad 750 North,PC UTF WDW10 DOVER 10-7-93-12,SUN-AB0191464-093-12-W4-00,444200.8125,6324022,435.100006103516,270.100006103516,2
Mackay River,Pad 750,Pad 750 North,PC WD 13 DOVER 10-7-93-12,SUN-AB0219788-093-12-W4-00,444188.8125,6324010.5,436.700012207031,267.700012207031,2
Mackay River,Pad 750,Pad 750 North,PC WDW 20 DOVER 10-7-93-12,SUN-AB0270296-093-12-W4-00,444181.40625,6323952.5,435.399993896484,262.399993896484,2
Mackay River,Pad 750,Pad 750 North,PC WDW 21 DOVER 10-7-93-12,SUN-AB0270295-093-12-W4-00,444235.1875,6324055,435.399993896484,261.399993896484,3
Mackay River,Pad 750,Pad 750 North,SUNCOR DA11-1 DOVER 7-7-93-12,SUN-AB0426902-093-12-W4-00,444174,6323622,432.899993896484,258.399993896484,2
Mackay River,Pad 750,Pad 750 North,SUNCOR DA13-1 DOVER 5-8-93-12,SUN-AB0427160-093-12-W4-00,444856.9375,6323448.5,429.799987792969,258,1
Mackay River,Pad 750,Pad 750 North,SUNCOR DA6-1 DOVER 7-7-93-12,SUN-AB0427006-093-12-W4-00,444149.96875,6323380,433.399993896484,257.399993896484,2
Mackay River,Pad 750,Pad 750 North,SUNCOR DA7-1 DOVER 9-7-93-12,SUN-AB0426901-093-12-W4-00,444385.53125,6323905,429.200012207031,255.699996948242,2
Mackay River,Pad 750,Pad 750 North,SUNCOR OB18 DOVER 10-7-93-12,SUN-AB0471658-093-12-W4-00,444173.09375,6324086.5,435.100006103516,257.100006103516,2
Mackay River,Pad 750,Pad 750 North,SUNCOR OB19 DOVER 13-8-93-12,SUN-AB0471742-093-12-W4-00,444845.09375,6324149.5,433.5,271.700012207031,2
Mackay River,Pad 750,Pad 750 North,SUNCOR OB19 DOVER 13-8-93-12,SUN-AB0471742-093-12-W4-02,444850.125,6324149.5,433.5,260.839080810547,1
Mackay River,Pad 750,Pad 750 North,SUNCOR OB29 DOVER 15-7-93-12,SUN-AB0486904-093-12-W4-00,444081.5,6324178.5,438,257.505432128906,1
Mackay River,Pad 750,Pad 750 North,SUNCOR WBC57 DOVER 7-7-93-12,SUN-AB0486902-093-12-W4-00,444130,6323380,435.5,304.5,1
Mackay River,Pad 750,Pad 750 South,PC SS-T3 DOVER 9-6-93-12,SUN-AB0394972-093-12-W4-00,444635.84375,6322127.5,430.899993896484,255.899993896484,2
Mackay River,Pad 750,Pad 750 South,PC SS-T3 DOVER 9-6-93-12,SUN-AB0394972-093-12-W4-02,444635.84375,6322127.5,430.899993896484,255.899993896484,2
Mackay River,Pad 750,Pad 750 South,PC SS-T3 DOVER 9-6-93-12,SUN-AB0394972-093-12-W4-03,444635.84375,6322127.5,430.899993896484,255.899993896484,2
Mackay River,Pad 750,Pad 750 South,PC SS-T3 DOVER 9-6-93-12,SUN-AB0394972-093-12-W4-04,444635.84375,6322127.5,430.899993896484,255.899993896484,2
Mackay River,Pad 750,Pad 750 South,PC SS-T3 DOVER 9-6-93-12,SUN-AB0394972-093-12-W4-05,444635.84375,6322127.5,430.899993896484,255.899993896484,2
Mackay River,Pad 750,Pad 750 South,SUNCOR 16-6SL WBC55 DOVER 12-5-93-12,SUN-AB0472613-093-12-W4-00,444726.90625,6322508,432.600006103516,303.363250732422,2
Mackay River,Pad 750,Pad 750 South,SUNCOR OB20 DOVER 1-6-93-12,SUN-AB0471809-093-12-W4-00,444363.3125,6321603,431.299987792969,258.299987792969,2
Mackay River,Pad 750,Pad 750 South,SUNCOR SD14 DOVER 4-5-93-12,SUN-AB0430794-093-12-W4-00,444745.09375,6321621,428.200012207031,256.200012207031,2
Mackay River,Pad 750,Pad 750 South,SUNCOR SD6 DOVER 10-6-93-12,SUN-AB0427837-093-12-W4-00,444101.8125,6322333.5,433.700012207031,257.200012207031,1
Mackay River,Pad 750,Pad 750 South,SUNCOR SD8 DOVER 10-6-93-12,SUN-AB0427839-093-12-W4-00,444155.28125,6322186.5,433.399993896484,257.100006103516,2
Mackay River,Pad 751,Pad 751 East,SUNCOR SD1 DOVER 14-6-93-12,SUN-AB0431307-093-12-W4-00,443791,6322880,436.799987792969,257.299987792969,3
Mackay River,Pad 751,Pad 751 East,SUNCOR SD2 DOVER 1-7-93-12,SUN-AB0426854-093-12-W4-00,444697,6323003.5,430.5,257.5,1
Mackay River,Pad 751,Pad 751 East,SUNCOR SD5 DOVER 14-6-93-12,SUN-AB0430458-093-12-W4-00,443616.25,6322576,438.700012207031,255.699996948242,2
Mackay River,Pad 751,Pad 751 North,PC UTF PA10 DOVER 10-7-93-12,SUN-AB0184088-093-12-W4-00,444166.9375,6324000,435.899993896484,271.100006103516,1
Mackay River,Pad 751,Pad 751 North,PC WD 18 DOVER 15-7-93-12,SUN-AB0229402-093-12-W4-00,443989.625,6324199.5,437.200012207031,270.200012207031,1
