SUNCOR_WELLBORE_ID,FILE_NAME,FOLDER_SURFACE_NAME,MD,RECEIVED_DATE,STRUCTURE_RELEASE,WELLBORE_STATUS,WELLBORE_COMPLETION_STATUS,SAA_PATTERN,NGF_PATTERN,AMENDMENT_SUMMARY,TVD,PETREL_SURFACE_Y,PETREL_KB_ELEV,PETREL_GROUND_ELEV,IHS_KB_ELEV,WELLBORE_TYPE,ACTIVE_WELLBORE_FLAG,PRIOR_UWI,CURRENT_UWI_EFFECTIVE_DATE,LICENSE_ID,LICENSE_NUMBER,LICENSE_DATE,PETREL_SURFACE_X,WELL_PAIR,COMMON_WELLNAME,COMMON_WELLBORE_NAME,WELLVIEW_WELLNAME,PETREL_WELLNAME,CURRENT_UWI,TVDSS,X_COORDINATE,Y_COORDINATE,PROJECT,SURFACE_PAD,PATTERN
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),247.389999,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.802008,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.097992,443980.968750,6322985.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),215.000000,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.669348,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.230652,443963.656250,6322959.500000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),298.329987,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,168.004614,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,270.895386,444004.968750,6323029.500000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),307.290009,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,168.029517,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,270.870483,444009.218750,6323037.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),190.573334,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.565131,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.334869,443950.031250,6322942.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),275.375000,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.924689,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,270.975311,443994.437500,6323009.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),175.543335,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.527625,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.372375,443941.656250,6322932.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),284.575012,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.970190,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,270.929810,443998.656250,6323017.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),289.059998,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.981360,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,270.918640,444000.687500,6323021.000000,Mackay River,Pad 751,Pad 751 North
SUN-AB0458829-093-12-W4-00,125150709312W400,z-(base-of-continuous-res)-constrained-(unofficial),199.903336,2020-08-27T00:00:00.0000000,20xx-structure-release,Active,Cased,751 N,751 N,,167.605017,6322832.000000,,434.299988,438.900000,SAGD Producer,Y,,,AB0458829,0458829,2013-08-26T00:00:00.0000000,443853.000000,751-WP06,751-P06,751-P06-Original,SUNCOR 751P6 DOVER 15-7-93-12,SUNCOR P751P6 DOVER 15-7-93-12,125150709312W400,271.294983,443955.250000,6322948.500000,Mackay River,Pad 751,Pad 751 North
