COMMON_WELLBORE_NAME,SENSOR,TAG_NAME,FORMATION,DEPTH
OB18,1,OB_WELLS/OB3_07_TEMP_PT1.CV,Devonian,330.87
OB18,2,OB_WELLS/OB3_07_TEMP_PT2.CV,LM3,327.2
OB18,3,OB_WELLS/OB3_07_TEMP_PT3.CV,LM3,323.53
OB18,4,OB_WELLS/OB3_07_TEMP_PT4.CV,LM3,319.86
OB18,5,OB_WELLS/OB3_07_TEMP_PT5.CV,LM3,316.19
OB18,6,OB_WELLS/OB3_07_TEMP_PT6.CV,LM3,312.52
OB18,7,OB_WELLS/OB3_07_TEMP_PT7.CV,LM3,308.85
OB18,8,OB_WELLS/OB3_07_TEMP_PT8.CV,LM3,305.18
OB18,9,OB_WELLS/OB3_07_TEMP_PT9.CV,LM3,301.51
OB18,10,OB_WELLS/OB3_07_TEMP_PT10.CV,mM,297.84
OB18,11,OB_WELLS/OB3_07_TEMP_PT11.CV,mM,294.17
OB18,12,OB_WELLS/OB3_07_TEMP_PT12.CV,mM,290.5
OB18,13,OB_WELLS/OB3_07_TEMP_PT13.CV,mM,286.83
OB18,14,OB_WELLS/OB3_07_TEMP_PT14.CV,mM,283.16
OB18,15,OB_WELLS/OB3_07_TEMP_PT15.CV,mM,279.49
OB18,16,OB_WELLS/OB3_07_TEMP_PT16.CV,mM,275.82
OB18,17,OB_WELLS/OB3_07_TEMP_PT17.CV,mM,272.15
OB18,18,OB_WELLS/OB3_07_TEMP_PT18.CV,mM,268.48
OB18,19,OB_WELLS/OB3_07_TEMP_PT19.CV,uM,264.81
OB18,20,OB_WELLS/OB3_07_TEMP_PT20.CV,Wab (RMZ),261.14
OB18,21,OB_WELLS/OB3_07_TEMP_PT21.CV,Wab (CZ),259.14
OB18,22,OB_WELLS/OB3_07_TEMP_PT22.CV,Wab (CZ),257.14
OB18,23,OB_WELLS/OB3_07_TEMP_PT23.CV,Wab (CZ),255.14
OB18,24,OB_WELLS/OB3_07_TEMP_PT24.CV,Wab (CZ),253.14
